"","V1"
"1034","HSPH1"
"1035","HTRA1"
"1036","HULC"
"1037","HVCN1"
"1038","HYDIN"
"1039","HYDIN2"
"1040","ID2"
"1041","IDH1"
"1042","IDH3B"
"1043","IFFO1"
"1044","IFI16"
"1045","IFLTD1"
"1046","IFRD1"
"1047","IFT122"
"1048","IGF1R"
"1049","IGF2R"
"1050","IGFBP7"
"1051","IGSF11"
"1052","IGSF8"
"1053","IKZF5"
"1054","IL10RA"
"1055","IL1RAPL1"
"1056","IL33"
"1057","IL6R"
"1058","ILDR2"
"1059","ILKAP"
"1060","IMMP2L"
"1061","IMPA1"
"1062","INHBA"
"1063","INHBB"
"1064","INO80E"
"1065","INPP4A"
"1066","INPP4B"
"1067","INSIG1"
"1068","INTS4P1"
"1069","IPO11"
"1070","IPP"
"1071","IQCA1"
"1072","IQCH"
"1073","IQCK"
"1074","IQSEC2"
"1075","IREB2"
"1076","IRS2"
"1077","ISOC1"
"1078","ITFG1"
"1079","ITGA2"
"1080","ITGA2B"
"1081","ITGA3"
"1082","ITGA6"
"1083","ITGA7"
"1084","ITGAL"
"1085","ITGAV"
"1086","ITGB4"
"1087","ITGB8"
"1088","ITGBL1"
"1089","ITM2C"
"1090","ITPA"
"1091","ITPKB"
"1092","ITPR1"
"1093","ITPR2"
"1094","IVD"
"1095","JADE1"
"1096","JAG1"
"1097","JAK1"
"1098","JAKMIP1"
"1099","JAKMIP2"
"1100","JAKMIP3"
"1101","JARID2"
"1102","JAZF1"
"1103","JDP2"
"1104","JOSD2"
"1105","JUN"
"1106","JUNB"
"1107","KALP"
"1108","KALRN"
"1109","KANK1"
"1110","KANK2"
"1111","KAZN"
"1112","KB-1047C11.2"
"1113","KCNC4"
"1114","KCND2"
"1115","KCNE4"
"1116","KCNH7"
"1117","KCNIP1"
"1118","KCNJ10"
"1119","KCNJ14"
"1120","KCNJ3"
"1121","KCNK10"
"1122","KCNK13"
"1123","KCNMA1"
"1124","KCNN2"
"1125","KCNN3"
"1126","KCNT2"
"1127","KCTD1"
"1128","KCTD12"
"1129","KCTD15"
"1130","KCTD2"
"1131","KCTD3"
"1132","KCTD8"
"1133","KDELR2"
"1134","KDM3A"
"1135","KDM5D"
"1136","KDM7A"
"1137","KHDRBS2"
"1138","KIAA0319L"
"1139","KIAA0930"
"1140","KIAA1161"
"1141","KIAA1211"
"1142","KIAA1257"
"1143","KIAA1549L"
"1144","KIAA1671"
"1145","KIAA1683"
"1146","KIAA1755"
"1147","KIF13A"
"1148","KIF13B"
"1149","KIF16B"
"1150","KIF18A"
"1151","KIF1A"
"1152","KIF1B"
"1153","KIF24"
"1154","KIF6"
"1155","KIFC3"
"1156","KIRREL3"
"1157","KIT"
"1158","KITLG"
"1159","KLF15"
"1160","KLF4"
"1161","KLF9"
"1162","KLHDC8A"
"1163","KLHL13"
"1164","KLHL23"
"1165","KLHL25"
"1166","KLHL29"
"1167","KLHL3"
"1168","KLHL32"
"1169","KLKB1"
"1170","KMT2C"
"1171","KNSTRN"
"1172","KREMEN1"
"1173","L3MBTL4"
"1174","LA16c-306E5.3"
"1175","LACTB2"
"1176","LAMA1"
"1177","LAMA2"
"1178","LAMA4"
"1179","LAMB4"
"1180","LAYN"
"1181","LCNL1"
"1182","LCOR"
"1183","LDLR"
