"","V1"
"1178","RP11-379F4.4"
"1179","RP11-386B13.3"
"1180","RP11-392O17.1"
"1181","RP11-40A8.3"
"1182","RP11-426L16.8"
"1183","RP11-437L7.2"
"1184","RP11-438E5.1"
"1185","RP11-441O15.3"
"1186","RP11-445H22.4"
"1187","RP11-460M2.1"
"1188","RP11-467H10.2"
"1189","RP11-473C18.6"
"1190","RP11-473M20.7"
"1191","RP11-480C22.1"
"1192","RP11-493K19.3"
"1193","RP11-499F3.2"
"1194","RP11-500G22.2"
"1195","RP11-50D16.4"
"1196","RP11-511B23.2"
"1197","RP11-513G19.1"
"1198","RP11-514P8.2"
"1199","RP11-517I3.2"
"1200","RP11-517O13.3"
"1201","RP11-520M5.5"
"1202","RP11-527E14.1"
"1203","RP11-531A24.5"
"1204","RP11-551L14.5"
"1205","RP11-557H15.3"
"1206","RP11-557H15.4"
"1207","RP11-580I1.2"
"1208","RP11-597D13.9"
"1209","RP11-60A24.3"
"1210","RP11-624L4.1"
"1211","RP11-630C16.2"
"1212","RP11-659O3.1"
"1213","RP11-65F13.2"
"1214","RP11-664H17.1"
"1215","RP11-666E17.1"
"1216","RP11-667K14.3"
"1217","RP11-67L2.2"
"1218","RP11-680H20.2"
"1219","RP11-6J21.2"
"1220","RP11-707A18.1"
"1221","RP11-707P17.1"
"1222","RP11-733O18.1"
"1223","RP11-739N20.2"
"1224","RP11-74D7.1"
"1225","RP11-760H22.2"
"1226","RP11-766N7.3"
"1227","RP11-770E5.1"
"1228","RP11-773D16.1"
"1229","RP11-809C18.3"
"1230","RP11-862L9.2"
"1231","RP11-879F14.1"
"1232","RP11-890B15.3"
"1233","RP11-90B9.2"
"1234","RP11-93L9.1"
"1235","RP11-945C19.4"
"1236","RP3-333H23.10"
"1237","RP3-394A18.1"
"1238","RP3-414A15.12"
"1239","RP3-428L16.1"
"1240","RP3-522D1.1"
"1241","RP3-525N10.2"
"1242","RP4-552O12.2"
"1243","RP4-562J12.2"
"1244","RP4-569M23.4"
"1245","RP4-798A10.2"
"1246","RP5-1159O4.1"
"1247","RP5-882C2.2"
"1248","RP5-964N17.1"
"1249","RP5-968D22.3"
"1250","RPA2"
"1251","RPGRIP1"
"1252","RPL13"
"1253","RPL23A"
"1254","RPL3"
"1255","RPL31"
"1256","RPL35A"
"1257","RPL36AL"
"1258","RPL4"
"1259","RPL8"
"1260","RPN1"
"1261","RPP14"
"1262","RPS26"
"1263","RPS28"
"1264","RPS6KA3"
"1265","RRAGB"
"1266","RSPH1"
"1267","RSPH9"
"1268","RTCB"
"1269","RTTN"
"1270","RUNX1"
"1271","RYR1"
"1272","SAFB"
"1273","SAMD4A"
"1274","SAMD9"
"1275","SARAF"
"1276","SAXO1"
"1277","SCARA3"
"1278","SCARB1"
"1279","SCARNA9"
"1280","SCIN"
"1281","SCMH1"
"1282","SCN8A"
"1283","SCRG1"
"1284","SCYL2"
"1285","SDHAF3"
"1286","SDK1"
"1287","SEC13"
"1288","SEC14L1"
"1289","SEC62"
"1290","SEMA4D"
"1291","SEMA6D"
"1292","SENP2"
"1293","SENP8"
"1294","SEPN1"
"1295","SEPT10"
"1296","SERINC3"
"1297","SERPINB9"
"1298","SERPINE1"
"1299","SERPING1"
"1300","SERTAD2"
"1301","SGK1"
"1302","SGO2"
"1303","SH2B3"
"1304","SH2D3C"
"1305","SH2D4A"
"1306","SH3BGRL"
"1307","SH3D21"
"1308","SH3KBP1"
